ICD9,ICD10,Disorder
278,E66.9,Overweight or obesity
290.4,F01.51,"Major vascular neurocognitive disorder, Probable, With behavioral disturbance"
290.4,F01.50,"Major vascular neurocognitive disorder, Probable, Without behavioral disturbance"
291,F10.231,Alcohol withdrawal delirium
291.9,F10.99,Unspecified alcohol-related disorder
292,F15.23,Amphetamine or other stimulant withdrawal
292,F15.93,Caffeine withdrawal
292,F12.288,Cannabis withdrawal
292,F14.23,Cocaine withdrawal
292,F11.23,Opioid withdrawal
292,F11.23,Opioid withdrawal delirium
292,F19.239,Other (or unknown) substance withdrawal
292,F19.231,Other (or unknown) substance withdrawal delirium
292,F13.231,"Sedative, hypnotic, or anxiolytic withdrawal delirium"
292,F17.203,Tobacco withdrawal
292.89,F16.983,Hallucinogen persisting perception disorder
292.9,F15.99,Unspecified caffeine-related disorder
292.9,F12.99,Unspecified cannabis-related disorder
292.9,F16.99,Unspecified hallucinogen-related disorder
292.9,F18.99,Unspecified inhalant-related disorder
292.9,F11.99,Unspecified opioid-related disorder
292.9,F19.99,Unspecified other (or unknown) substance-related disorder
292.9,F16.99,Unspecified phencyclidine-related disorder
292.9,F13.99,"Unspecified sedative-, hypnotic-, or anxiolytic-related disorder"
292.9,,Unspecified stimulant-related disorder
292.9,F17.209,Unspecified tobacco-related disorder
293,F05,Delirium due to another medical condition
293,F05,Delirium due to multiple etiologies
293.81,F06.2,"Psychotic disorder due to another medical condition, With delusions"
293.82,F06.0,"Psychotic disorder due to another medical condition, With hallucinations"
293.84,F06.4,Anxiety disorder due to another medical condition
293.89,F06.1,Catatonia associated with another mental disorder (catatonia specifier)
293.89,F06.1,Catatonic disorder due to another medical condition
294.8,F06.8,Obsessive-compulsive and related disorder due to another medical condition
294.8,F06.8,Other specified mental disorder due to another medical condition
294.9,F09,Unspecified mental disorder due to another medical condition
295.4,F20.81,Schizophreniform disorder
295.7,F25.0,"Schizoaffective disorder, Bipolar type"
295.7,F25.1,"Schizoaffective disorder, Depressive type"
295.9,F20.9,Schizophrenia
296.2,F32.9,"Major depressive disorder, Single episode, Unspecified"
296.21,F32.0,"Major depressive disorder, Single episode, Mild"
